51	-10	5
23	-5	-23
-27	-22	61
-14	-77	33
-40	45	-2
41	-84	-7
4	5	60
-6	-12	20
-64	-21	-6
6	-62	-42
-51	-65	4
38	49	-9
-21	59	-11
51	-46	16
51	-64	-30
33	50	-8
7	-27	32
-9	-94	6
18	-36	75
12	43	17
-27	-34	0
69	-24	-8
27	9	54
-54	7	-15
-24	8	-42
-48	-68	24
-5	-31	39
-9	10	-6
-45	-3	47
-54	-35	50
17	-18	20
-2	41	8
63	-54	15
31	-9	70
17	-97	8
-48	34	-2
9	44	54
41	-8	-40
-36	-9	6
-15	-57	68
-6	-1	75
-3	-20	-38
2	0	15
51	-53	53
-17	70	6
35	-72	28
28	37	-17
67	-29	25
56	3	31
57	8	-28
-30	-63	37
-6	-25	75
-33	18	-37
21	-69	56
-33	-24	21
66	-45	2
-44	-46	-31
35	-16	10
13	11	45
-18	-37	-25
-36	-41	54
60	15	20
-26	20	-6
-35	25	32
51	-45	-36
7	36	-25
27	-43	-9
36	-78	21
28	-46	69
3	39	33
63	-32	45
45	36	37
-48	-14	57
-44	-37	23
-9	39	-22
43	-35	-16
-36	-74	17
20	11	12
19	-67	20
6	-82	6
-31	2	57
-63	-17	12
38	57	20
51	34	-8
42	-32	44
-57	10	14
-11	2	24
-29	-42	45
33	-26	-5
33	33	38
45	-73	39
-23	60	29
9	21	2
-9	-47	11
43	-26	63
-3	63	33
33	16	-36
5	-48	69
-38	-23	46
67	-12	-18
-6	25	0
-36	-79	-8
-61	-45	7
-51	-5	-36
60	-63	3
25	22	58
-7	-21	-29
-32	-3	66
-34	-1	-44
39	0	50
-30	41	-14
34	30	4
24	-61	3
24	52	-12
-5	18	36
-42	-65	3
18	-81	42
-6	-81	19
-54	-51	39
-44	28	30
10	25	-11
63	-48	-12
-26	-42	69
30	-1	13
-16	-3	66
16	-32	51
27	63	15
-39	-4	-9
47	-81	10
-45	-13	14
10	-18	-15
-7	22	11
-24	-63	-8
51	-25	18
-27	-69	53
51	-20	-20
61	6	-3
-17	43	42
22	-87	-6
